#JobTime,MS_LOC_X,MS_LOC_Y,MS_LOC_Z,SP_MAGNITUDE
#Time,DD:MM:YY:HH:MM:SS,,,
25:02:10:11:26:03,731.03,-669.64,-1570.34,0.741
25:02:10:11:26:05,630.33,-615.45,-1585.21,0.534
25:02:10:11:26:06,617.72,-528.46,-1587.77,0.545
25:02:10:11:26:18,661.72,-635.98,-1637.08,0.712
25:02:10:11:26:41,657.6,-557.44,-1669.28,0.704
25:02:10:11:26:42,615.09,-541.01,-1568.58,0.503
25:02:10:11:26:50,630.81,-565.36,-1665.49,0.644
25:02:10:11:27:06,679.21,-544.09,-1674.88,0.804
25:02:10:11:27:15,592.26,-612.76,-1555.3,0.53
25:02:10:11:27:20,601.06,-630.72,-1554.68,0.454
25:02:10:11:27:26,419.87,-672.19,-1599.97,0.142
25:02:10:11:27:28,594.83,-642.39,-1548.54,0.413
25:02:10:11:27:41,639.74,-552.97,-1569.49,0.532
25:02:10:11:27:44,623,-623.73,-1634.19,0.668
25:02:10:11:27:47,596.85,-551.71,-1550.82,0.593
25:02:10:11:27:50,674.32,-497.85,-1514.72,0.627
25:02:10:11:27:56,683.63,-567.52,-1627.35,0.795
25:02:10:11:28:03,685.59,-565.98,-1763.55,0.842
25:02:10:11:28:03,685.59,-565.98,-1763.55,0.823
25:02:10:11:28:07,582.38,-580.41,-1562.27,0.412
25:02:10:11:28:07,641.56,-543.33,-1614.3,0.608
25:02:10:11:28:10,618.33,-612.48,-1605.28,0.607
25:02:10:11:28:11,676.69,-572.76,-1597.85,0.585
25:02:10:11:28:11,589.08,-548.05,-1651.04,0.536
25:02:10:11:28:12,599.08,-654.82,-1507.65,0.376
25:02:10:11:28:14,595.14,-590.17,-1551.83,0.47
25:02:10:11:28:26,676.7,-528.01,-1500.45,0.558
25:02:10:11:28:28,621.74,-608.29,-1552.65,0.46
25:02:10:11:28:30,646.56,-574.73,-1668.16,0.665
25:02:10:11:28:31,628.78,-637.97,-1560.85,0.511
25:02:10:11:28:34,674.34,-547.66,-1581.1,0.653
25:02:10:11:28:37,615.7,-671.96,-1658.37,0.543
25:02:10:11:28:38,598.9,-642.32,-1554.59,0.492
25:02:10:11:28:41,633.03,-559.01,-1584.23,0.502
25:02:10:11:28:41,689.33,-575.4,-1635.32,0.699
25:02:10:11:28:43,657.31,-477.54,-1577.49,0.687
25:02:10:11:28:43,609.92,-535.35,-1592.07,0.569
25:02:10:11:28:45,634.22,-594.1,-1600.62,0.708
25:02:10:11:28:54,592.73,-564.95,-1585.69,0.462
25:02:10:11:28:57,622.64,-530.52,-1656.57,0.61
25:02:10:11:29:02,570.06,-561.27,-1659.08,0.515
25:02:10:11:29:04,649.44,-585.83,-1605.01,0.588
25:02:10:11:29:05,684.44,-497.04,-1585.22,0.738
25:02:10:11:29:11,733.42,-729.75,-1643.87,0.862
25:02:10:11:29:11,733.42,-729.75,-1643.87,0.875
25:02:10:11:29:17,656.58,-591.81,-1606.51,0.587
25:02:10:11:29:17,588.22,-509.04,-1552.56,0.471
25:02:10:11:29:18,708.59,-593.19,-1591.11,0.683
25:02:10:11:29:22,637.21,-489.48,-1717.25,0.732
25:02:10:11:29:26,668.32,-550.48,-1597.79,0.688
25:02:10:11:29:32,678.72,-545.9,-1657.29,0.674
25:02:10:11:29:33,743.4,-501.57,-1665.77,0.903
25:02:10:11:29:34,567.97,-573.79,-1698.68,0.499
25:02:10:11:29:41,712.4,-645.15,-1658.35,0.778
25:02:10:11:29:42,703.37,-548.65,-1606.04,0.678
25:02:10:11:29:44,663.16,-558.83,-1583.97,0.616
25:02:10:11:29:46,606.74,-618.59,-1594.68,0.495
25:02:10:11:29:54,637.77,-593.01,-1610.88,0.69
25:02:10:11:29:57,607.17,-535.67,-1567.29,0.613
25:02:10:11:29:57,559.31,-568.03,-1515.74,0.482
25:02:10:11:29:58,626.41,-642.07,-1675.32,0.647
25:02:10:11:30:01,639.44,-591.53,-1667.43,0.67
25:02:10:11:30:07,610.97,-446.02,-1624.69,0.589
25:02:10:11:30:07,610.97,-446.02,-1624.69,0.589
25:02:10:11:30:07,665.53,-535.46,-1620.19,0.713
25:02:10:11:30:09,584.19,-671.63,-1506.48,0.414
25:02:10:11:30:10,562.72,-620.8,-1625.43,0.502
25:02:10:11:30:11,607.72,-558.31,-1625.94,0.553
25:02:10:11:30:16,646.16,-573.36,-1585.28,0.592
25:02:10:11:30:20,523.72,-890.77,-1619.97,0.511
25:02:10:11:30:20,523.72,-890.77,-1619.97,0.511
25:02:10:11:30:20,616.05,-601.47,-1552.85,0.463
25:02:10:11:30:21,627.7,-585.74,-1678.3,0.592
25:02:10:11:30:22,633.69,-530.76,-1590.39,0.616
25:02:10:11:30:22,634.48,-570.95,-1684.52,0.689
25:02:10:11:30:28,683.4,-518.34,-1596.67,0.693
25:02:10:11:30:30,594.7,-596.93,-1519.36,0.393
25:02:10:11:30:30,630.95,-613.42,-1676.36,0.685
25:02:10:11:30:30,611.08,-628.16,-1664.98,0.603
25:02:10:11:30:32,591,-574.86,-1573.36,0.445
25:02:10:11:30:40,587.63,-627.91,-1612.96,0.442
25:02:10:11:30:42,671.22,-659.63,-1603.93,0.634
25:02:10:11:30:44,623.19,-636.64,-1675.03,0.632
25:02:10:11:30:49,689.75,-533.08,-1630.22,0.699
25:02:10:11:30:50,669.33,-546.14,-1612.26,0.673
25:02:10:11:30:52,675.75,-521.68,-1531.42,0.633
25:02:10:11:30:53,611.78,-624.99,-1652.67,0.585
25:02:10:11:30:56,578.31,-613.05,-1559.74,0.488
25:02:10:11:31:00,619.82,-622.7,-1649.02,0.553
25:02:10:11:31:01,674.2,-507.52,-1546.99,0.561
25:02:10:11:31:13,625.07,-573.85,-1592.46,0.687
25:02:10:11:31:16,475.92,-255.42,-1491.01,0.611
25:02:10:11:31:16,685.81,-500.75,-1584.25,0.649
25:02:10:11:31:16,668.46,-597.18,-1644.44,0.671
25:02:10:11:31:18,648.47,-612.53,-1662.2,0.973
25:02:10:11:31:20,688,-590.31,-1511.48,0.514
25:02:10:11:31:29,683.46,-345.59,-1583.79,0.769
25:02:10:11:31:33,747.52,-607.02,-1668.55,0.857
25:02:10:11:31:34,690.11,-539.28,-1669.29,0.837
25:02:10:11:31:37,614.17,-630.6,-1671.89,0.626
25:02:10:11:31:38,609.76,-588.68,-1666.62,0.668
25:02:10:11:31:39,599.9,-685.72,-1664.56,0.523
25:02:10:11:31:40,620.53,-608.37,-1621.87,0.518
25:02:10:11:31:40,596.32,-544.68,-1536.04,0.436
